"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance","Referenced in"
"Short stories, English--Great Britain","general term","017066940","Monograph","Language material ; Text","Volume","GBB882798","","9781784433260","","","","","Young Writers (Firm : Peterborough, England), publisher [organisation] ; Whitfield, Cheryl, 1988-, editor [person] ; Dahl, Roald [person]","Phizz-whizzing words. Fizzbangers","Fizzbangers","","","England","Peterborough","Young Writers","2015","","138 pages, 20 cm","820.809282","YKL.2018.a.7845","","English","'In this anthology of Phizz Whizzing Words, the featured young writers use [Roald] Dahl's unique style as inspiration for their own creative tales and poems.'--Back cover","",""
"Short stories, English--Great Britain","general term","018859326","Monograph","Language material ; Text","Volume","GBB927780","","9781788961523","","","","","Young Writers (Firm : Peterborough, England), publisher [organisation] ; Harris-Love, Georgia, editor [person] ; Dahl, Roald [person]","Phizz-whizzing words. Wonderful words","Wonderful words","","","England","Peterborough","Young Writers","2018","","122 pages, 20 cm","820.809282","YKL.2019.a.3852","","English","'In this anthology of Phizz Whizzing Words, the featured young writers use [Roald] Dahl's unique style as inspiration for their own creative tales and poems.'--Back cover ; Publisher's number: YB0349I","",""
"Short stories, English--Great Britain","general term","018878576","Monograph","Language material ; Text","Volume","GBB946080","","9781788961608","","","","","Jones, Allison, editor [person] ; Young Writers (Firm : Peterborough, England), publisher [organisation] ; Dahl, Roald [person]","Phizz-whizzing words. Wondiferous wordsmiths","Wondiferous wordsmiths","","","England","Peterborough","Young Writers","2018","","227 pages, 21 cm","820.809282","YKL.2019.a.6391","","English","'In this anthology of Phizz Whizzing Words, the featured young writers use [Roald] Dahl's unique style as inspiration for their own creative tales and poems.'--Back cover","",""
"Short stories, English--Scotland","general term","016647615","Monograph","Language material ; Text","Volume","GBB882778","","9781782038238","","","","","Young Writers (Firm : Peterborough, England), publisher [organisation] ; Patel, Shobhna, editor [person] ; Dahl, Roald [person]","Phizz-whizzing stories. Flibbertigibbety","Flibbertigibbety","","","England","Peterborough","Young Writers","2014","","136 pages, 20 cm","823.08108092","YKL.2018.a.7832","","English","'In this anthology of Phizz Whizzing Words, the featured young writers use [Roald] Dahl's unique style as inspiration for their own creative tales and poems.'--Back cover","",""
"Short stories, English--Wales","general term","017041438","Monograph","Language material ; Text","Volume","GBB882795","","9781784433222","","","","","Young Writers (Firm : Peterborough, England), publisher [organisation] ; Dahl, Roald [person] ; Bannister, Jenni, editor [person]","Phizz-whizzing words. Whizzfizzlers","Whizzfizzlers","","","England","Peterborough","Young Writers","2015","","154 pages, 20 cm","820.809282","YKL.2018.a.7841","","English","'In this anthology of Phizz Whizzing Words, the featured young writers use [Roald] Dahl's unique style as inspiration for their own creative tales and poems.'--Back cover","",""
"Short stories--Fiction","general term","018526564","Monograph","Language material ; Text","Online resource","GBB7I1103","","9780141941639","Dahl, Roald","","person","","Dahl, Roald [person]","Kiss Kiss","Edward the Conqueror -- ; Genesis and Catastrophe -- ; George Porgy -- ; Mrs Bixby and the Colonel's coat -- ; Parson's pleasure -- ; Pig -- ; Royal jelly -- ; The Landlady -- ; The champion of the world ; The way up to heaven -- ; William and Mary --","","","England","Harmondsworth, Middlesex","Penguin","1962","","1 online resource (231 pages)","823.914","ELD.DS.193501","Fiction","English","'Penguin book'","",""
"Silverwork--Rome","general term","009700871","Monograph","Language material ; Text","Volume","GB99Y1459","","9780224046459","Dahl, Roald","","person","","Steadman, Ralph [person] ; Dahl, Roald [person]","The Mildenhall treasure","","","","England","London","Jonathan Cape","1999","New edition, illustrated by Ralph Steadman","80 pages, colour illustrations, 26 cm","739.23737","","","English","Originally published: London: British Museum, 1977","",""
"Size and shape--Fiction","general term","018529331","Monograph","Language material ; Text","Online resource","GBB7I2890","","9780141347349 ; 9781101653029","Dahl, Roald","","person","","Blake, Quentin, illustrator [person] ; Dahl, Roald [person]","Esio Trot","","","","United States of America","New York","Puffin","2009","","1 online resource (62 pages), illustrations","813.6","ELD.DS.196164","Fiction","English","'Ages 8-12'--Cover p [4] ; reprinted Originally published in 1990","",""
"Size--Fiction","general term","007363141","Monograph","Language material ; Text","Volume","GB9018932","","9780224027861","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Esio Trot","","","","England","","Cape","1990","","64 pages","823.912","YK.1990.b.1757","","English","","",""
"Size--Fiction","general term","018529331","Monograph","Language material ; Text","Online resource","GBB7I2890","","9780141347349 ; 9781101653029","Dahl, Roald","","person","","Blake, Quentin, illustrator [person] ; Dahl, Roald [person]","Esio Trot","","","","United States of America","New York","Puffin","2009","","1 online resource (62 pages), illustrations","813.6","ELD.DS.196164","Fiction","English","'Ages 8-12'--Cover p [4] ; reprinted Originally published in 1990","",""
"Size--Juvenile fiction","general term","009700949","Monograph","Language material ; Text","Volume","GBA3V4842","","9780224064927","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Esio trot","","","","England","London","Jonathan Cape","2003","","69 pages, illustrations, 18 cm","823.914","YK.2005.a.5349","Children's fiction","English","","",""
"Songs for women's voices with piano","general term","005288383","Monograph","Notated music","Volume","","","","Patterson, Paul","1947-","person","","Dahl, Roald [person] ; Patterson, Paul, 1947- [person]","The Little Red Riding Hood songbook : for narrator, S.S.A.A. chorus and piano : op.78","Roald Dahl's Little Red Riding Hood. Vocal score","","","England","London","Josef Weinberger","1995","","1 score (40 pages), 30 cm","782.642","F.1058.f. (7.)","","English","","",""
"Speaker with woodwind (4), brass (1) and piano","general term","005278086","Monograph","Notated music","Volume","","","9780193557284","Butler, Martin","1960-","person","","Dahl, Roald [person] ; Butler, Martin, 1960- [person]","Dirty beasts","","","","England","Oxford","Oxford University Press","1993","","1 score (24 pages), 31 cm","783.96","G.810.s. (9.) ; H05/4812","","English","'facsimile of the composer's manuscript'","",""
"Sperm banks","general term","018530710","Monograph","Language material ; Text","Online resource","GBB7I3793","","9780141941998","Dahl, Roald","","person","","Dahl, Roald [person]","My Uncle Oswald","","","","England","Middlesex","Penguin","1980","","1 online resource (204 pages)","823.914","ELD.DS.197422","Fiction","English","","",""
"Sperm banks--Fiction","general term","018530710","Monograph","Language material ; Text","Online resource","GBB7I3793","","9780141941998","Dahl, Roald","","person","","Dahl, Roald [person]","My Uncle Oswald","","","","England","Middlesex","Penguin","1980","","1 online resource (204 pages)","823.914","ELD.DS.197422","Fiction","English","","",""
"Stories in rhyme","general term","015116362","Monograph","Language material ; Text","Volume","GBA938859","","9780141326832","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Revolting rhymes","","","","England","London","Puffin","2009","","46 pages, illustrations + 1 sound disc","821.914","","","English","Compact disc ; Originally published: without accompanying sound disc. London: Jonathan Cape, 1982","",""
"Stories in rhyme","general term","016094856","Monograph","Language material ; Text","Volume","GBB252472","","9780857550569","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Revolting rhymes","","","","England","London","Jonathan Cape","2012","","62 pages, illustrations, 19 cm","821.914","YK.2013.a.8933","","English","Originally published: 1982","",""
"Stories in rhyme","general term","016488529","Monograph","Language material ; Still image ; Text","Volume","GBB378734","","9780141350370","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Revolting rhymes","","","","England","London","Puffin","2013","","46 pages, colour illustrations, 27 cm","821.914","","","English","Originally published: London: Jonathan Cape, 1982","",""
"Stories in rhyme","general term","017796371","Monograph","Language material ; Still image ; Text","Volume","GBB647801","","9781849673242","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person] ; Williams, Gwynne, 1937-, translator [person]","Penillion Ach-a-fi!","Dirty beasts. Welsh","","","Wales","Hengoed","Rily","2016","","31 pages, colour illustrations, 27 cm","821.914","YKL.2017.b.3287","Translations into Welsh","Welsh","Cyhoeddwyd year argraffiad Cymraeg cyntaf dan y teitl = First Welsh edition published under the title: Ych-a-fi! ; Cyhoeddwyd yn wreiddiol yn Saesneg = Originally published in English: Jonathan Cape Ltd, 1982","",""
"Stories in rhyme","general term","017796372","Monograph","Language material ; Still image ; Text","Volume","GBB647802","","9781849673259","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person] ; Williams, Gwynne, 1937-, translator [person]","Cerddi ffiaidd","Revolting Rhymes. Welsh","","","Wales","Hengoed","Rily","2016","","47 pages, colour illustrations, 19 cm","823.914","YKL.2017.b.3268","Translations into Welsh","Welsh","Cyhoeddwyd year argraffiad Cymraeg cyntaf dan y teitl = First Welsh edition published under the title: Ffi Ffai Ffiaidd ; Cyhoeddwyd yn wreiddiol yn Saesneg = Originally published in English: Jonathan Cape Ltd, 1982","",""
"Stories in rhyme","general term","017833633","Monograph","Language material ; Still image ; Text","Volume","GBB660170","","9780141369327","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Revolting rhymes","","","","England","London","Puffin","2016","","46 pages, colour illustrations, 27 cm","821.914","","","English","Originally published: London: Jonathan Cape, 1982","",""
"Stories in rhyme","general term","017910247","Monograph","Language material ; Still image ; Text","Volume","GBB689308","","9780141374123","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Revolting rhymes","Ronald Dahl's revolting rhymes","","","England","London","Puffin","2016","","54 pages, black and white illustrations, 20 cm","821.912","YKL.2017.a.12970","Adaptation","English","Originally published as: Ronald Dahl's revolting rhymes. London : Jonathan Cape, 1982","",""
"Stories in rhyme","general term","017998848","Monograph","Language material ; Still image ; Text","Volume","GBB6C2402","","9780141374239","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Revolting rhymes","","","","England","London","Puffin","2016","","1 volume, colour illustrations, 27 cm + 1 CD","821.914","","","English","MP3-CD","",""
"Stories in rhyme","general term","018522416","Monograph","Language material ; Text","Online resource","GBB7H8473","","9780141378442","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Revolting rhymes","","","","England","London","Puffin","2016","","1 online resource (1 volume), colour illustrations","821.914","ELD.DS.189605","","English","Originally published by Jonathan Cape 1982","",""
"Suites for recorders (4)","general term","005259280","Monograph","Notated music","Volume","","","","Lee, Patricia","","person","composer","Lee, Patricia, composer [person] ; Dahl, Roald [person]","Two suites for recorder consort","Suites. recorders (4). no.1-2 (1988)","","","England","Woodford Green","International Publishing","1988","","1 set of parts, 31 cm","785.83614185","g.128.o. (14.)","","","Publ. number 16971","",""
"Suites for recorders (4)","general term","005303965","Monograph","Notated music","Volume","","","9780863595837","Lee, Patricia","","person","composer","Lee, Patricia, composer [person] ; Dahl, Roald [person] ; Clark, Stephen [person] ; Harries, Tim [person]","Two suites for recorder consort","Suites. recorders (4). nos. 1-2 (1988)","","","England","Woodford Green","International Publishing","1988","","1 score (35 pages), 31 cm","785.83614185","g.128.o. (15.)","","","Publ. number 16928 ; Publ. number 215-2-498","",""
"Surprise--Fiction","general term","006684803","Monograph","Language material ; Text","Volume","GB9864338","","","Dahl, Roald","","person","","Dahl, Roald [person]","Tales of the unexpected. Vol. 1","","","","England","London","Penguin","1997","","87 pages, 18 cm","823.914","YA.1998.a.11090","","English","'This edition published for Tetley GB Ltd.' - t.p.v","",""
"Surprise--Fiction","general term","009910671","Monograph","Language material ; Text","Volume","GBA124546","","","Dahl, Roald","","person","","Dahl, Roald [person]","The complete tales of the unexpected and other stories","Collected short stories of Roald Dahl","","","England","London","Folio Society","2001","","768 pages, 12 leaves of plates, colour illustrations, 25 cm","823.914","Nov.2001/684","Fiction","English","In slip-case ; Originally published as The collected short stories of Roald Dahl. London : Michael Joseph, 1991","",""
"Surprise--Fiction","general term","015813235","Monograph","Language material ; Text","Volume","GBB161604","","9780241955703","Dahl, Roald","","person","","Dahl, Roald [person]","Someone like you","","","","England","London","Penguin","2011","","354 pages, 20 cm","823.914","H.2012/.7002","Fiction","English","","",""
"Suspense fiction, English","general term","018366351","Monograph","Language material ; Text","Volume","GBB791912","","9781405933216","","","","","Dahl, Roald, editor [person]","Fear","","","","England","London","Penguin","2017","","307 pages, 20 cm","823.087208","YKL.2018.a.13314","","English","Additional physical form: ebook version. 9781405933223","",""
"Suspense fiction, English","general term","018366353","Monograph","Language material ; Text","Volume","GBB791914","","9781405933254","Dahl, Roald","","person","author","Dahl, Roald, author [person]","Innocence","","","","England","London","Penguin","2017","","273 pages, 20 cm","823.914","YKL.2018.a.13296","","English","Additional physical form: ebook version. 9781405933261","",""
"Suspense fiction, English","general term","018368722","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB794280","","9781405933223","Dahl, Roald","","person","author","Dahl, Roald, editor [person] ; Dahl, Roald, author [person]","Fear","","","","England","London","Penguin","2017","","1 online resource","823.087208","ELD.DS.191634","","English","Additional physical form: Print version. 9781405933216","",""
"Suspense fiction, English","general term","018368724","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB794282","","9781405933261","Dahl, Roald","","person","author","Dahl, Roald, author [person]","Innocence","","","","England","London","Penguin","2017","","1 online resource","823.914","ELD.DS.191636","","English","Additional physical form: Print version. 9781405933254","",""
"Symphony orchestras","general term","005290931","Monograph","Notated music","Volume","","","","Patterson, Paul","1947-","person","","Dahl, Roald [person] ; Patterson, Paul, 1947- [person]","Roald Dahl's Little Red Riding Hood : for narrators and full orchestra : op.73","","","","England","London","Josef Weinberger","1994","Study score","1 score (117 pages), 30 cm","784.2","f.708.pp. (5.)","","","","",""
"Teachers--Juvenile fiction","general term","010699640","Monograph","Language material ; Text","Volume","GB9953752","","9780582401983","Escott, John","","person","","Dahl, Roald [person] ; Escott, John [person]","Matilda","","Penguin readers. Level 3","","England","Harlow","Pearson","1999","","40 pages, 20 cm","428.6","YK.2001.a.4083","Children's fiction ; Fantasy ; Reader","English","","",""
"Testudinidae as pets--Juvenile fiction","general term","016493460","Monograph","Language material ; Text","Volume","GBB381468","","9781849671170","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person] ; Meek, Elin, translator [person]","Nab Wrc","Esio Trot. Welsh","","","Wales","Hengoed","Rily","2012","","56 pages, illustrations, 20 cm","","","Children's fiction","Welsh","Cyhoeddwyd yn wreiddiol yn Saesneg yn 1990 = Originally published in English in 1990","",""
"Testudinidae as pets--Juvenile fiction","general term","018178760","Monograph","Language material ; Still image ; Text","Volume","GBB707009","","9781849673518","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person] ; Meek, Elin, translator [person]","Nab Wrc","Esio Trot. Welsh","","","Wales","Hengoed","Rily","2016","","56 pages, 17 unnumbered pages, black and white illustrations, 20 cm","","","Children's fiction","Welsh","Cyfieithiad Cymraeg blaenorol = Previous Welsh translation: 2011 ; Cyhoeddwyd yn wreiddiol yn Saesneg = Originally published in English: 1990","",""
"Testudinidae--Juvenile fiction","general term","011935377","Monograph","Language material ; Text","Volume","GBA1Z9911","","9780141311333","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Esio trot","","","","England","London","Puffin","2001","","55 pages, illustrations, 1 portrait, 20 cm","823.914","YK.2001.a.5371","Children's fiction ; Humour or satire","English","Originally published: London : Jonathan Cape, 1990","",""
"Toy and movable books","general term","013119113","Monograph","Language material ; Text","Volume","GBA516518","","9781844227273","","","","","Dahl, Roald [person]","Charlie and the chocolate factory activity book","","","","England","London","Ladybird","2005","","8 pages, 30 cm","791.4372","","","English","Based on the work of Road Dahl ; Film tie-in","",""
"Translating and interpreting","general term","013080997","Monograph","Language material ; Text","Volume","","","9788497730822","González Cascallana, Belén","","person","","González Cascallana, Belén [person]","Translation and intertextuality : a descriptive study of contemporary British children fantasy literature in Spain (1970-2000)","","Serie Tesis doctorales (Universidad de León)","","Spain","León","Universidad de León, Secretariado de Publicaciones y Medios Audiovisuales","2003","","37, xi, 510 pages, 24 cm","","YD.2005.a.3828","","English ; Spanish","","",""
"Treasure-trove--England--Mildenhall (Suffolk)","general term","007363937","Monograph","Language material ; Text","Volume","GB9973612","","9780224060172","Dahl, Roald","","person","","Steadman, Ralph [person] ; Dahl, Roald [person]","The Mildenhall treasure","","","","England","London","Jonathan Cape","1999","","78 pages, colour illustrations, 30 cm","739.2373","YK.2001.b.1241 ; m00/10687","","English","","",""
"Treasure-trove--England--Suffolk","general term","009700871","Monograph","Language material ; Text","Volume","GB99Y1459","","9780224046459","Dahl, Roald","","person","","Steadman, Ralph [person] ; Dahl, Roald [person]","The Mildenhall treasure","","","","England","London","Jonathan Cape","1999","New edition, illustrated by Ralph Steadman","80 pages, colour illustrations, 26 cm","739.23737","","","English","Originally published: London: British Museum, 1977","",""
"Tricks--Juvenile literature","general term","019157003","Monograph","Language material ; Still image ; Text","Volume","GBB8M5668","","9780241371183","Holowaty, Lauren","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald [person] ; Holowaty, Lauren, author [person]","Roald Dahl's Matilda's how to be a genius","Matilda's how to be a genius","","","England","London","Puffin","2019","001","83 pages, colour illustrations, 24 cm","793.8","YKL.2019.a.18493","Children's literature","English","Additional physical form: ebook version. 9780241371190 ; Includes blank sections to be filled in by the reader","",""
"Tricks--Juvenile literature","general term","019161022","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB8M9687","","9780241371190","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald [person] ; Dahl, Roald, author [person]","Roald Dahl's Matilda's how to be a genius : brilliant tricks to bamboozle grown-ups","","Roald Dahl","","England","London","Puffin","2019","","1 online resource, illustrations","793.8","ELD.DS.384069","Children's literature","English","Additional physical form: Print version. 9780241371183","",""
"Turtles","general term","018513768","Monograph","Language material ; Text","Online resource","GBB7J4027","","9780141378565","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Esio trot","","","","England","London","Puffin","2013","","1 online resource, colour illustrations","823.914","ELD.DS.185631","Children's fiction ; Fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1990","",""
"Turtles--Fiction","general term","007363141","Monograph","Language material ; Text","Volume","GB9018932","","9780224027861","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Esio Trot","","","","England","","Cape","1990","","64 pages","823.912","YK.1990.b.1757","","English","","",""
"Turtles--Fiction","general term","018529331","Monograph","Language material ; Text","Online resource","GBB7I2890","","9780141347349 ; 9781101653029","Dahl, Roald","","person","","Blake, Quentin, illustrator [person] ; Dahl, Roald [person]","Esio Trot","","","","United States of America","New York","Puffin","2009","","1 online resource (62 pages), illustrations","813.6","ELD.DS.196164","Fiction","English","'Ages 8-12'--Cover p [4] ; reprinted Originally published in 1990","",""
"Turtles--Juvenile fiction","general term","009700949","Monograph","Language material ; Text","Volume","GBA3V4842","","9780224064927","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Esio trot","","","","England","London","Jonathan Cape","2003","","69 pages, illustrations, 18 cm","823.914","YK.2005.a.5349","Children's fiction","English","","",""
"Turtles--Juvenile fiction","general term","018513768","Monograph","Language material ; Text","Online resource","GBB7J4027","","9780141378565","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Esio trot","","","","England","London","Puffin","2013","","1 online resource, colour illustrations","823.914","ELD.DS.185631","Children's fiction ; Fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1990","",""
"United States","general term","011931332","Monograph","Language material ; Text","Volume","GB9672522","","9780140382976","Smith, Lane","","person","","Walt Disney Company [organisation] ; Smith, Lane [person] ; Dahl, Roald [person] ; Kirkpatrick, Karey [person]","Disney's James & the giant peach","James and the giant peach","","","England","London","Puffin","1996","","1 volume, colour illustrations, 20 x 28 cm","813.54","LB.31.a.6835","","English","At head of title: Roald Dahl","",""
"Verenigd Koninkrijk van Groot-Brittannië en Noord-Ierland","geographical term","017884919","Monograph","Language material ; Text","Online resource (electronic bk)","GBB6I1000","","9780007397068","Sturrock, Donald","","person","","Sturrock, Donald [person]","Storyteller : the life of Roald Dahl","","","","England","London","Harper","2010","","1 online resource (xv, 655 pages, 24 unnumbered pages of plates), illustrations","823.914","ELD.DS.65287","Biography","English","","",""
"Vocabulary--Juvenile literature","general term","019201230","Monograph","Language material ; Still image ; Text","Volume","GBB903837","","9780192771971","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Rennie, Susan, 1962-, editor [person] ; Dahl, Roald, author [person]","Roald Dahl's rotsome & repulsant words","Rotsome & repulsant words","","","England","Oxford","Oxford University Press","2019","","62 pages, black and white illustrations, 20 cm","428.1","YKL.2019.a.21057","Children's literature","English","","",""
"Vocabulary--Pictorial works--Juvenile literature","general term","019519571","Monograph","Language material ; Text","Volume","GBB9E5879","","9780241382653","Dahl, Roald","","person","author","Blake, Quentin, artist [person] ; Dahl, Roald, author [person]","Roald Dahl's little library","Little library","","","England","London","Puffin","2019","","1 volume, chiefly colour illustrations, 90 mm","428.1","","Children's literature ; Pictorial work","English","Board book ; Lift-the-flap book","",""
"Vocabulary--Pictorial works--Juvenile literature","general term","019519572","Monograph","Language material ; Still image ; Text","Volume","GBB9E5880","","9780241419106","Dahl, Roald","","person","author","Blake, Quentin, artist [person] ; Dahl, Roald, author [person]","Roald dahl's little library","Little library","","","England","London","Puffin","2019","","4 volumes, chiefly colour illustrations, 90 mm","428.1","","Children's literature ; Pictorial work","English","Board book ; Lift-the-flap book","",""
"Wales","geographical term","018072382","Monograph","Language material ; Text","Online resource","GBB799038","","9781783169429","","","","","Davies, Damian Walford, editor [person]","Roald Dahl : Wales of the unexpected","","","","United Kingdom ; Wales","Cardiff","University of Wales Press","2016","","1 online resource","823.914","ELD.DS.95583","Criticsm and interpretation","English","","",""
"Wales--In literature","general term","017955546","Monograph","Language material ; Text","Volume","GBB6A5658","","9781783169405","","","","","Davies, Damian Walford, editor [person]","Roald Dahl : Wales of the unexpected","","","","Wales","Cardiff","University of Wales Press","2016","","1 volume, 22 cm","823.914","","","English","","",""
"Wales--In literature","geographical term","018072382","Monograph","Language material ; Text","Online resource","GBB799038","","9781783169429","","","","","Davies, Damian Walford, editor [person]","Roald Dahl : Wales of the unexpected","","","","United Kingdom ; Wales","Cardiff","University of Wales Press","2016","","1 online resource","823.914","ELD.DS.95583","Criticsm and interpretation","English","","",""
"War stories, English","general term","015265310","Monograph","Language material ; Text","Volume","GBA951312","","9780141189659","Dahl, Roald","","person","","Dahl, Roald [person]","Over to you : ten stories of flyers and flying","","Modern classics","","England","London","Penguin","2010","","158 pages, 20 cm","823.914","H.2011/.5133","Fiction","English","Originally published: New York: Reynal and Hitchcock, 1946; London: Hamilton, 1946","",""
"War stories, English","general term","018366346","Monograph","Language material ; Text","Volume","GBB791907","","9781405932059","Dahl, Roald","","person","author","Dahl, Roald, author [person]","Over to you","","","","England","London","Penguin","2017","","1 volume","823.914","","Fiction","English","Originally published: New York: Reynal and Hitchcock, 1946","",""
"War stories, English","general term","018526678","Monograph","Language material ; Text","Online resource","GBB7I1203","","9780141962061","Dahl, Roald","","person","","Dahl, Roald [person]","Over to you : ten stories of flyers and flying","","Penguin modern classics","","England","London ; Toronto","Penguin","2010","","1 online resource (158 pages)","823.914","ELD.DS.193615","Fiction","English","Originally published: New York: Reynal and Hitchcock, 1946; London: Hamilton, 1946","",""
"Wildlife depredation--Fiction","general term","018530273","Monograph","Language material ; Text","Online resource","GBB7I3683","","9780141929842 ; 9781101652985","Wood, David","1944-","person","adaptor","Wood, David, 1944-, adaptor [person] ; Dahl, Roald, author [person]","Fantastic Mr Fox","Fantastic Mister Fox","","","England ; United States of America","New York","Samuel French","2003","","1 online resource","822.92","ELD.DS.197106","Children's book ; Children's fiction ; Drama ; Fiction","English","Electronic book","",""
"Wit and humor, Juvenile","general term","013118085","Monograph","Language material ; Text","Volume","GBA515490","","9780141319919","Woodward, Kay","","person","","Woodward, Kay [person] ; Dahl, Roald [person]","The whipple-scrumptious joke book","Charlie and the chocolate factory","","","England","London","Puffin","2005","","73 pages, illustrations, 20 cm","828.91402","YK.2005.a.5677","","English","'Based on Roald Dahl's Charlie and the chocolate factory'--Prelim","",""
"Wit and humor, Juvenile","general term","015808542","Monograph","Language material ; Text","Volume","GBB158722","","9780141340555","Dahl, Roald","","person","","Dahl, Roald [person]","Roald Dahl's marvellous joke book","","","","England","London","Puffin","2012","","111 pages, illustrations, 20 cm","828.91402","YK.2013.a.9168","","English","","",""
"Wit and humor, Juvenile","general term","017793293","Monograph","Language material ; Still image ; Text","Volume","GBB644723","","9780141368238","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Whizzpopping joke book","","","","England","London","Puffin","2016","","119 pages, illustrations, 20 cm","828.91402","YKL.2017.a.10084","","English","Additional physical form: ebook version. 9780141370590","",""
"Wit and humor, Juvenile","general term","017797232","Monograph","Language material ; Still image ; Text","Online resource (ebook)","GBB648659","","9780141370590","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Roald Dahl's whizzpopping joke book","Whizzpopping joke book","","","England","London","Puffin","2016","","1 online resource, illustrations","828.91402","ELD.DS.191403","","English","Additional physical form: Print version. 9780141368238","",""
"Wit and humor, Juvenile","general term","018506790","Monograph","Language material ; Text","Online resource","GBB7G8962","","9780141347325","Dahl, Roald","","person","author","Dahl, Roald, author [person]","Roald Dahl's marvellous joke book","","","","England","London","Puffin","2011","","1 online resource","828.91402","ELD.DS.180393","","English","","",""
"Wit and humor, Juvenile","general term","018530269","Monograph","Language material ; Text","Online resource","GBB7I3680","","9780141929859","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","George's marvellous medicine","","","","England","London","Puffin","2007","","1 online resource (104 pages), illustrations","823.914","ELD.DS.197102","Children's fiction ; Fiction","English","","",""
"Wit and humor, Juvenile","general term","019494001","Monograph","Language material ; Still image ; Text","Volume","GBB9D3190","","9780241422137","","","","","Blake, Quentin, illustrator [person] ; Dahl, Roald [person]","Matilda's jokes for awesome kids","Matilda","","","England","London","Puffin","2019","","129 pages, illustrations, 20 cm","828.9202","","","English","","",""
"Wit and humor--Juvenile literature","general term","016443303","Monograph","Language material ; Still image ; Text","Volume","GBB356911","","9780141348797","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person] ; Woodward, Kay, compiler [person]","Roald Dahl's mischief and mayhem","","","","England","London","Puffin","2013","","166 pages, black and white illustrations, 20 cm","793.5","YK.2013.a.25984","Children's literature","English","","",""
"Witches","general term","018530278","Monograph","Language material ; Text","Online resource","GBB7K2086","","9780141930176","Dahl, Roald","","person","","Blake, Quentin, illustrator [person] ; Dahl, Roald [person]","The witches","","","","United States of America","New York","Puffin","2007","","1 online resource, illustrations","823.914","ELD.DS.197111","Children's fiction ; Fiction","English","Originally published: London: Jonathan Cape, 1983","",""
"Witches--Fiction","general term","007362672","Monograph","Language material ; Text","Volume","GB8323258","","9780224021654","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The witches","","","","England","London","Cape","1983","","206 pages, illustrations, 24 cm","823.912","X.990/22490","","English","","",""
"Witches--Fiction","general term","011929604","Monograph","Language material ; Text","Volume","GB9018130","","9780140317305","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The witches","","","","England","","Puffin","1985","","208 pages","823.914","YK.1990.a.4794","","English","","",""
